"Activity" "Subject" "frequencyBodyAccelerometerMagnitude-mean()" "frequencyBodyAccelerometerMagnitude-std()" "frequencyBodyAccelerometerJerkMagnitude-mean()" "frequencyBodyAccelerometerJerkMagnitude-std()" "frequencyBodyGyroscopicJerkMagnitude-mean()" "frequencyBodyGyroscopicJerkMagnitude-std()" "frequencyBodyGyroscopicMagnitude-mean()" "frequencyBodyGyroscopicMagnitude-std()" "timeBodyAccelerometerJerkMagnitude-mean()" "timeBodyAccelerometerJerkMagnitude-std()" "timeBodyAccelerometerMagnitude-mean()" "timeBodyAccelerometerMagnitude-std()" "timeBodyGyroscopicJerkMagnitude-mean()" "timeBodyGyroscopicJerkMagnitude-std()" "timeBodyGyroscopicMagnitude-mean()" "timeBodyGyroscopicMagnitude-std()" "timeGravityAccelerometerMagnitude-mean()" "timeGravityAccelerometerMagnitude-std()"
"STANDING" 2 0.23140431289963 -0.0820396577592593 -0.860489124074074 0.794552969444444 -0.327713970018519 0.148268891203704 0.144897161101111 -0.105562157888889 -0.439629918392593 -0.999513952592593 -0.999781299444444 -0.999361639259259 -0.999052850925926 -0.999441677962963 -0.998198299074074 -0.967037112037037 -0.999426093333333 -0.999810602962963
"LAYING" 2 0.288509665814583 -0.111800824583333 -0.871492135 0.825742531666667 -0.478879195916667 0.14267676161625 0.0794291980625 -0.101974134208333 -0.7727719634375 -0.99939132375 -0.998829923333333 -0.99968708875 -0.99962279125 -0.9996138775 -0.99889939875 -0.9864311425 -0.999868095833333 -0.999918063333333
"WALKING" 3 0.169632179666207 -0.0779150937413793 -0.513758611551724 0.422731284655172 0.159497818681034 0.0583539723948276 -0.116495689367241 -0.0952398165017241 -0.801824189827586 -0.568220467413793 -0.790629107068965 -0.815014576551724 -0.484724938103448 -0.810024279655172 -0.910437342931035 -0.437845763793103 -0.906526133103448 -0.952004140517241
"WALKING_UPSTAIRS" 3 -0.0876445099491525 -0.139275405637288 -0.328595692542373 0.40886528438983 0.165594739886102 -0.0579040321915254 -0.141008096389831 -0.115510569491525 -0.385645102016949 -0.866866663898305 -0.754275346610169 -0.783325918305085 -0.677880543898305 -0.939395151864407 -0.958471837288136 -0.378216681762712 -0.930081618135593 -0.982613173050847
"WALKING_DOWNSTAIRS" 3 0.164233404838776 -0.0139358043959184 -0.297997516522449 0.37346888322449 0.0865180438979592 -0.157421962759184 -0.0573595503285714 -0.0778701650285714 -0.713083501428571 -0.541326698408163 -0.53907938677551 -0.695642078979592 -0.561327325046939 -0.826241056530612 -0.889487120204082 -0.129066574295918 -0.854800329591837 -0.973511827959184
"SITTING" 3 0.0992019644807692 -0.07524100275 -0.855489430769231 0.780604233865385 -0.468039400884615 0.0595475642365385 0.0197737954761538 -0.103605889057692 -0.330663217153846 -0.998313641730769 -0.998255711538461 -0.997097146730769 -0.996775003461538 -0.998785755 -0.997519008461539 -0.957550637692308 -0.997611621346154 -0.999719126346154
"STANDING" 3 0.159065424442623 -0.0585101918262295 -0.79700041 0.751094875098361 -0.113378445113115 0.103045585183 0.0267467847111475 -0.0994602620655738 -0.421544016934426 -0.997930931967213 -0.998693438688525 -0.996361439016393 -0.99603259147541 -0.998536098360656 -0.998681596557377 -0.901282267540984 -0.998847339344262 -0.999518366885246
"LAYING" 3 0.203611355753226 -0.0718507159435484 -0.858554759032258 0.823396676935484 -0.320137634956452 0.21011814951129 0.107185907206452 -0.10004449883871 -0.691639019354839 -0.999595953064516 -0.999648083870968 -0.998996879354839 -0.998883061935484 -0.999221895806452 -0.998423517419355 -0.970167262903226 -0.999751884032258 -0.999884731612903
"WALKING" 4 -0.0248401983216667 -0.0726905278583333 -0.500598663333333 0.471764393833333 0.194744492433333 -0.11202787979 -0.201368478733333 -0.115321556475 -0.659990892666667 -0.665243275333333 -0.843854227666667 -0.7211925245 -0.664604847833333 -0.9431203675 -0.963116376 -0.373384540666667 -0.912443936166667 -0.991107820333333
"WALKING_UPSTAIRS" 4 -0.139433003957692 -0.0859471683596154 -0.413085939423077 0.368986417692308 0.233270492980769 0.00440184178076923 -0.308630991807692 -0.1314720713 -0.175850645115385 -0.863340613461538 -0.673675136346154 -0.778734470384615 -0.723773375192308 -0.950029708653846 -0.958906572115385 -0.3710689925 -0.931796174615385 -0.996689516346154
"WALKING_DOWNSTAIRS" 4 -0.0399282354155556 -0.0704025952333333 -0.414877075333333 0.387941361555556 0.106596886266667 -0.0994645889424444 -0.05239996692 -0.0921282734666667 -0.736574326888889 -0.766951471111111 -0.473335862133333 -0.781005568222222 -0.6530742 -0.899180330666667 -0.921067399333333 -0.240298893435556 -0.850397408222222 -0.993240247111111
"SITTING" 4 0.11598840398 -0.08943006108 -0.8644742466 0.772808495 -0.43584934564 0.04436124507 -0.031695157236 -0.09694948424 -0.134126074786 -0.9992160362 -0.9994585868 -0.9971667524 -0.997192693 -0.999134856 -0.9987038842 -0.9605896358 -0.9983638744 -0.9999146202
"STANDING" 4 0.112003456357143 -0.061824850625 -0.808884577678571 0.753492039821429 -0.153998327671429 -0.0623043503857143 -0.00495255702392857 -0.103057894142857 0.0589242327696429 -0.998668935 -0.998931593214286 -0.996963944642857 -0.996976731785714 -0.999079705 -0.998002496071429 -0.905464161964286 -0.997361543392857 -0.999639502142857
"LAYING" 4 0.2212660442 -0.0930128180759259 -0.851204999814815 0.834140003333333 -0.321017680537037 0.109036724135185 0.139127433911111 -0.105019877685185 -0.43657323487037 -0.998207509444444 -0.993317696296296 -0.996929533888889 -0.995006648703704 -0.998767281666667 -0.998566838333333 -0.967203736481482 -0.998620717777778 -0.999881812037037
"WALKING" 5 0.0026165025375 -0.0690135249642857 -0.521869455178571 0.247146394910714 0.173747175678571 0.00673972480892857 -0.0907576179642857 -0.0888408355267857 -0.615317304642857 -0.727387066607143 -0.736418595178571 -0.472679187625 -0.502376355892857 -0.886867075892857 -0.915312383035714 -0.372668749642857 -0.910326067678571 -0.919093385892857
"WALKING_UPSTAIRS" 5 -0.173107335191489 -0.117195551802128 -0.300621901319149 0.240153240229787 0.142436262042553 -0.0764094491425532 -0.242900544574468 -0.143029686361702 -0.0535768625404255 -0.69808410212766 -0.530139963191489 -0.469460846531915 -0.537902426808511 -0.90861914106383 -0.935953863404255 -0.263615096246809 -0.89115810893617 -0.949002587659574
"WALKING_DOWNSTAIRS" 5 0.242871253097872 -0.0707805998787234 -0.445430478744681 0.123459732404255 0.117476087955745 0.114265758153191 -0.025890514487234 -0.110149008255319 -0.594801344042553 -0.570005712340426 -0.160946970680851 -0.32531746306383 -0.324775202357447 -0.760477302553191 -0.911067651702128 -0.295345101425532 -0.888056540851064 -0.923173763404255
"SITTING" 5 0.146721718436364 -0.0835484079545455 -0.861827124318182 0.776140165227273 -0.344522688447727 0.148259012340909 0.0253037670727273 -0.0889747665681818 -0.343227437272727 -0.999035044090909 -0.999588952954545 -0.997289915 -0.997721277954545 -0.998883569772727 -0.998800046590909 -0.957117251818182 -0.999218677045455 -0.999644789772727
"STANDING" 5 0.196102052244643 -0.050987505 -0.807055379642857 0.737549407303571 -0.250734175839286 0.0392493986071429 0.00706151944285714 -0.0922249863035714 -0.140561273625 -0.998035568928571 -0.9985649375 -0.996217623571429 -0.995976410535714 -0.997945931428571 -0.997685991071429 -0.909661802321429 -0.998106291607143 -0.999170167678571
"LAYING" 5 0.194311053321154 -0.0798709596153846 -0.863261606538462 0.829895861346154 -0.33753991875 0.15461472325 0.0974295369257885 -0.102114125 -0.255694162761538 -0.999361555192308 -0.997265369230769 -0.999193249423077 -0.998865134615385 -0.999566435961538 -0.999410398653846 -0.975797491730769 -0.999704359423077 -0.999934448461538
"WALKING" 6 0.222770903875439 -0.0744462466 -0.405939926035088 0.273341720192982 0.169972236333333 0.16462199037193 -0.0245071680736842 -0.0878891090105263 -0.77773863822807 -0.495184987207018 -0.753250031929825 -0.555530200877193 -0.394608193491228 -0.891027941052632 -0.885921064912281 -0.239650710533333 -0.758126402631579 -0.857430576315789
"WALKING_UPSTAIRS" 6 0.386029030882353 -0.0518981989072549 -0.279196664917647 0.300923578431373 -0.097207219654902 0.132878578482353 -0.00413310170588235 -0.0652024492378431 -0.570511490039216 -0.737097224313725 -0.536540732745098 -0.472605526019608 -0.436727210078431 -0.66848567727451 -0.923820136470588 -0.115065008156863 -0.881478868823529 -0.918120843921569
"WALKING_DOWNSTAIRS" 6 0.440724539104167 -0.0341782208604167 -0.216473817 -0.0454750406 0.1010045863125 0.0702119416041667 0.0361191054166667 -0.0256452232354167 -0.80355013625 -0.429410493270833 -0.0239436533916667 0.065298211503125 0.009598959645 -0.642965355083333 -0.746243041770833 0.0633716052854167 -0.606169584729167 -0.730157771666667
"SITTING" 6 0.230218216109091 -0.0899083302550909 -0.844106957454545 0.771475223272727 -0.285947069552727 0.0609651430690909 0.11058782346 -0.0936693524363636 -0.480127540272727 -0.998691888727273 -0.999577872545454 -0.997120077090909 -0.996484222181818 -0.996753088 -0.997708451090909 -0.939671400545455 -0.997403812363636 -0.999132418909091
"STANDING" 6 0.185065784587719 -0.0589823639438597 -0.830853755789474 0.783328352105263 -0.198093853129825 -0.0262718271052632 0.00956722889473684 -0.103292534210526 -0.213978062070175 -0.998746758245614 -0.999557236491228 -0.996964538947368 -0.996676857017544 -0.997572041754386 -0.997970974035088 -0.931612384385965 -0.997523290526316 -0.999233810175439
"LAYING" 6 0.217510003519298 -0.107218315054386 -0.824192401403509 0.812734645087719 -0.210765527315789 0.0472692343859649 0.0198679434489474 -0.111267284631579 -0.394627613175439 -0.996695404385965 -0.986032859298246 -0.993664255087719 -0.993992793684211 -0.997270252982456 -0.996770289122807 -0.935439769649123 -0.995125798245614 -0.998853567719298
"WALKING" 7 0.054251196245614 -0.0837113724842105 -0.345882080631579 0.377161457017544 0.225263413789474 -0.223783693089474 -0.334668686263158 -0.123654199751333 -0.522462954008772 -0.689184540350877 -0.765391970350877 -0.562234690175439 -0.476629493280702 -0.426141386263158 -0.583731962280702 -0.318395104666667 -0.76564363245614 -0.746286158245614
"WALKING_UPSTAIRS" 7 0.0387521160211765 -0.00247161973 -0.481483558313725 0.377979723882353 0.00561926196039216 -0.15086362752549 -0.137455344501373 -0.0856640866647059 -0.499243295039216 -0.891514070196078 -0.742130343529412 -0.896011515882353 -0.867156095098039 -0.848293185490196 -0.937153647647059 -0.383889342745098 -0.952534278235294 -0.957239292156863
"WALKING_DOWNSTAIRS" 7 0.111982631074468 -0.049717460606383 -0.444033207021277 0.405394644808511 0.0869077344468085 0.0503358183 -0.253001322945106 -0.0597273512680851 -0.610603474680851 -0.516732489085106 -0.406919483957447 -0.783557073191489 -0.706849355531915 -0.594536113829787 -0.830597592978723 -0.33930147 -0.929336625744681 -0.841363426808511
"SITTING" 7 0.103238725921042 -0.03361196465625 -0.841214220208333 0.770511903958333 -0.3760948875375 0.0952478258520833 0.0425413720479167 -0.0938155625083333 -0.048811988625 -0.998926407916667 -0.997305204166667 -0.998437113333333 -0.998645514583333 -0.998233646041667 -0.998547172708333 -0.9436317575 -0.998997818333333 -0.99983174125
"STANDING" 7 0.0969904004056604 -0.0774336443396226 -0.836594772830189 0.795495273773585 -0.186165335849057 0.114256477313208 0.108864482418868 -0.0901539662169811 -0.208872321227925 -0.999494390188679 -0.999545898490566 -0.998068227358491 -0.998144841886792 -0.997975226603774 -0.998626248867925 -0.938121637735849 -0.998933700566038 -0.99979925509434
"LAYING" 7 0.281670211038462 -0.133605695057692 -0.829395534615385 0.822455106730769 -0.201801590365385 -0.0236381687480769 0.0742056272115385 -0.105944243484615 -0.588695918055769 -0.996885971538462 -0.992053286153846 -0.998018709038462 -0.998340346538461 -0.996506299038462 -0.995971171153846 -0.953684547692308 -0.998774402115385 -0.999224021153846
"WALKING" 8 0.106113937535417 -0.095791790535 -0.225331313958333 0.1951625568125 0.127185848998042 0.36249429718125 -0.266174578102083 -0.135886431360417 -0.454350538041667 -0.765505882083333 -0.647433337291667 0.0471820014916667 -0.103091599742708 -0.698412360416667 -0.804045478958333 -0.102063053808333 -0.908266382916667 -0.897389924583333
"WALKING_UPSTAIRS" 8 -0.00959723493902439 -0.204205356087805 -0.0949633553707317 -0.163485718192683 0.208366846682927 0.1408008915 -0.255682986909756 -0.15544567414878 -0.524296886487805 -0.520276695146341 -0.652283727804878 -0.640770424878049 -0.480840096829268 -0.743223558780488 -0.826001723414634 -0.240260761682927 -0.918056567804878 -0.894952398292683
"WALKING_DOWNSTAIRS" 8 -0.0618903012894737 -0.0500760173342105 -0.312935538578947 0.175481796744974 0.0731751529526316 0.276823686236842 -0.278403597052632 -0.0349283489710526 -0.772072186315789 0.0828768537552632 -0.478888551052632 -0.269689203836842 -0.0951486236052632 -0.498105301789474 -0.56724953 -0.130740445236842 -0.892631720526316 -0.736386953421053
"SITTING" 8 0.13152339433913 -0.0955089236521739 -0.887340160434783 0.792437915 -0.653132566086956 0.217561575137826 0.10009323018913 -0.0923150250434783 -0.321009148152174 -0.99953936 -0.99901361 -0.998572423043478 -0.999496475869565 -0.999326603043478 -0.999230970217391 -0.982200309782609 -0.999794145869565 -0.999892796086956
"STANDING" 8 0.209763638618519 -0.0280117633814815 -0.860752005740741 0.804597581296296 -0.317072100142593 0.259852831259259 0.156025311253704 -0.097757576 -0.359165810962963 -0.999658837407407 -0.999561618888889 -0.998781948703704 -0.999258543518519 -0.999355421666667 -0.997728373518519 -0.969677435925926 -0.999650017407407 -0.999783801851852
"LAYING" 8 0.249044879777778 -0.0891374138592593 -0.82835767037037 0.829055554814815 -0.233309222709259 0.248586363388889 0.140742909648148 -0.106445008314815 -0.468516482111111 -0.995927291481482 -0.992854917777778 -0.998624556296296 -0.999167817592593 -0.992835022222222 -0.99354087962963 -0.957903886111111 -0.998431447962963 -0.999443562037037
"WALKING" 9 0.0897068603692308 -0.0625598710615385 -0.472004803461538 0.244636906807692 0.158424832461538 -0.00643588913461538 -0.354055833807308 -0.0809204094461538 -0.101169811898077 -0.792667447115385 -0.698808862692308 -0.642073935576923 -0.696791531538462 -0.661098876153846 -0.854028610576923 -0.383676120961538 -0.923264339615385 -0.938893268269231
"WALKING_UPSTAIRS" 9 0.00499023355306122 -0.0412587909579592 -0.418012586938776 0.300056414653061 -0.107189085938776 0.161636651163265 0.0330483779795918 -0.0684689593355102 -0.538872771073469 -0.865695514081633 -0.785787175102041 -0.877695547346939 -0.897534359795918 -0.882649982653061 -0.932107005918367 -0.313941631326531 -0.94112372755102 -0.983554375306122
"WALKING_DOWNSTAIRS" 9 0.1894312017 -0.0712598843142857 -0.40059098547619 0.212797599190476 0.0527824638285714 0.0279766922952381 -0.0431161953047619 -0.094591202447619 -0.614608555952381 -0.632219995238095 -0.242802365083333 -0.776087568095238 -0.777287350952381 -0.521229053404762 -0.74597850452381 -0.325042890904762 -0.895168766904762 -0.916394063571429
"SITTING" 9 0.12879348409 -0.04142711812 -0.8543906836 0.7779774424 -0.296871010364 0.09524635478 0.19282629728 -0.0930708106 -0.40040970947 -0.9973990882 -0.996376898 -0.9973666122 -0.997334301 -0.996911872 -0.998209614 -0.950315237 -0.9993864682 -0.9994446818
"STANDING" 9 0.158949635711111 -0.060810158296 -0.825916536 0.789239618666667 -0.111062049397778 0.0542170111333333 0.141622000711111 -0.095897704 -0.330963183066667 -0.998265976888889 -0.999221645333333 -0.997177779111111 -0.997563814444444 -0.997666567777778 -0.998606253777778 -0.916974437555556 -0.99869973 -0.999635939777778
"LAYING" 9 0.4450513952 -0.15890291983 -0.8221405738 0.80494439 -0.05351417512 0.266330933908 0.192167154412 -0.10384667982 -0.68751604922 -0.9981899952 -0.9935437332 -0.9988649692 -0.99853189 -0.9954637134 -0.9983176608 -0.930297921 -0.9988861882 -0.9991895606
"WALKING" 10 0.231944785281132 -0.0819540783760943 -0.37301634245283 0.207176086981132 0.199844303081132 0.0574996823716981 -0.281127977641509 -0.122709563462264 -0.489222504150943 -0.595800588301887 -0.656154530377358 -0.683905502075472 -0.434806442150943 -0.893758788679245 -0.848477007735849 -0.277913780754717 -0.867368388301887 -0.962883984716981
"WALKING_UPSTAIRS" 10 -0.0552718718851064 -0.0954600216446809 -0.242629912753191 0.285722418702128 0.166784060404255 0.182118433553191 -0.069089976857234 -0.157212539189362 -0.247353837361702 -0.621990610595745 -0.641166194042553 -0.607356553191489 -0.625629297021277 -0.87997352212766 -0.900623035744681 -0.218524716912766 -0.921410590851064 -0.955184116595745
"WALKING_DOWNSTAIRS" 10 0.0696560091736842 -0.106742538831579 -0.407575620315789 0.0109855634210526 0.0695592769736842 0.152547776710526 -0.412006136210526 -0.0643764005526316 -0.746469686842105 -0.409850488978947 -0.150243065815789 -0.577578594552632 -0.569302148078947 -0.827002813421053 -0.683196530789474 -0.214350280079211 -0.900717272894737 -0.94007194131579
"SITTING" 10 0.150755747537037 -0.0679993598888889 -0.885879524259259 0.800778588333333 -0.669277454574074 0.293237977907407 0.154386089124074 -0.0931555026481481 -0.656354802740741 -0.999650362592593 -0.999287377407407 -0.998453856481481 -0.999308596481482 -0.999569410740741 -0.999218977777778 -0.986477363333333 -0.999854084074074 -0.999952471481481
"STANDING" 10 0.241513211620455 -0.0876820486363636 -0.816181090454545 0.8005245425 -0.184139696529545 0.216649465856818 0.100116935329091 -0.104753833181818 -0.491727426113636 -0.997658809772727 -0.999420127272727 -0.995451210681818 -0.995915736136364 -0.998764760681818 -0.998347439545455 -0.924005912954545 -0.999180403181818 -0.999666774318182
"LAYING" 10 0.234130188550517 -0.0770325657265517 -0.843542308793103 0.817807286034483 -0.36179691137931 0.206113235 0.133365309033448 -0.100308254413793 -0.649796303362069 -0.99843034862069 -0.997280879310345 -0.998627766034483 -0.997690109310345 -0.998469221551724 -0.996393684482759 -0.953793912068965 -0.998832932241379 -0.999013084827586
"WALKING" 11 0.140227304779661 -0.0705104974254237 -0.533683518135593 0.325043646779661 0.12579913050339 -0.160400233730508 -0.0784576819220339 -0.0918204195491525 -0.00654114675084746 -0.761835019830508 -0.827154708983051 -0.71369935 -0.597409766440678 -0.959071652881356 -0.954097163559322 -0.514753307627119 -0.973475160508475 -0.985147521186441
"WALKING_UPSTAIRS" 11 -0.184071928425926 -0.0566928808703704 -0.436656641514815 0.616640306296296 -0.178328591955556 0.0695106700942593 -0.0922596391851852 -0.0645245413759259 0.386310729185185 -0.885465858703704 -0.700281600185185 -0.847279079074074 -0.811733135925926 -0.971207052962963 -0.975509581666667 -0.471782782222222 -0.969864207962963 -0.991494198333333
"WALKING_DOWNSTAIRS" 11 0.0257817657328261 -0.0262775345369565 -0.397130668956522 0.208667982173913 0.0677144172826087 0.0348050832869565 -0.126842204595652 -0.0220916265065217 -0.559617286847826 -0.687404855652174 -0.330705062195652 -0.517722823695652 -0.560817405 -0.881033074130435 -0.898674177826087 -0.318777012804348 -0.95177416326087 -0.971842047608696
"SITTING" 11 0.202835835464151 -0.0755284478679245 -0.884485955849057 0.788153895660377 -0.609941411886792 0.185267371731887 0.125921107577358 -0.0948423481320755 -0.720804542754717 -0.99953795490566 -0.999630150188679 -0.998325557169811 -0.998774419622641 -0.999494102075472 -0.999125012075472 -0.985106875471698 -0.999855508490566 -0.999883638490566
"STANDING" 11 0.240040537489362 -0.0765465041914894 -0.870001190425532 0.812845748510638 -0.372158720461702 0.234832512934043 0.202850228744681 -0.099519355893617 -0.708723053255319 -0.999879077234043 -0.999948435319149 -0.999542718510638 -0.999567379787234 -0.999720505319149 -0.99949188106383 -0.978301717234043 -0.999853506170213 -0.999986640212766
"LAYING" 11 0.251867228210526 -0.041559989822807 -0.864590001052632 0.82991506 -0.408344802108772 0.240258687691228 0.169402177610526 -0.102297501877193 -0.761684367894737 -0.99947232754386 -0.999511915964912 -0.998168554561404 -0.998522395087719 -0.998699005263158 -0.998836894561404 -0.97618747122807 -0.999169055438596 -0.999846234561404
"WALKING" 12 -0.040628176126 -0.03442910782 -0.4998161192 0.29219738492 -0.00432979892 0.150665693346 -0.298725930378 -0.06223893174 -0.7490303086 -0.40266148326 -0.61486628 -0.7748131098 -0.5679923744 -0.854922649 -0.8731736074 -0.4019759318 -0.8788737818 -0.9514072222
"WALKING_UPSTAIRS" 12 0.00562407544423077 -0.0411314519307692 -0.467424925 0.4014599975 -0.0373468972326923 0.0642774996557692 -0.221326588123077 -0.0455638872076923 -0.173600645382692 -0.773574458461538 -0.740518875192308 -0.826184393846154 -0.724317963076923 -0.948152151538462 -0.954282968076923 -0.426360331538462 -0.946905153076923 -0.982552499038462
"WALKING_DOWNSTAIRS" 12 0.164160242108696 -0.0427336692521739 -0.306202319773913 0.222189364208696 -0.00510324563043479 0.189887156830435 -0.21997183926087 -0.0264668968652174 -0.830007978043478 -0.521558472305652 -0.446753739978261 -0.416762858284783 -0.317559622228261 -0.819921350869565 -0.865808259782609 -0.178856167345652 -0.827975908521739 -0.935031164347826
"SITTING" 12 0.165369984392157 -0.0751980398235294 -0.869992268627451 0.788365072352941 -0.432238492039216 0.129562092105882 0.0689155925294118 -0.0941023489803922 -0.400092943813726 -0.99934555 -0.999674650980392 -0.998826860784314 -0.998631418039216 -0.999044141176471 -0.998997241764706 -0.968528985294118 -0.999666001960784 -0.999842154901961
"STANDING" 12 0.154386334657377 -0.0700083750360656 -0.794776938196721 0.79064709557377 -0.177201467180328 0.0725567053467213 0.133260244611475 -0.0976380412377049 -0.39167865995082 -0.998887903770492 -0.999517903114754 -0.997256086557377 -0.997468723278689 -0.998643893606557 -0.998497265409836 -0.890292711147541 -0.99642027147541 -0.999339570983607
"LAYING" 12 0.220764905003 -0.0835537350333333 -0.846891128 0.807105504833333 -0.2175199677 0.0371141418341667 -0.000574835448333335 -0.0990402297166667 -0.529836529935 -0.998332442666667 -0.995401220833333 -0.998939696 -0.9987203235 -0.998286294666667 -0.997874627166667 -0.9566538865 -0.998888377333333 -0.999371983166667
"WALKING" 13 -0.036692641245614 -0.0798472502663158 -0.381864317894737 0.310213399298246 0.172485051310526 0.121607569042105 -0.136862851191228 -0.0966598593263158 -0.746330176666667 -0.600136117859649 -0.782445584561403 -0.423782229263158 -0.321384710052632 -0.738910093508772 -0.771493613719298 -0.192856474047368 -0.888174813333333 -0.827199198245614
"WALKING_UPSTAIRS" 13 -0.0717426414254545 0.00381966911090909 -0.537412382545455 0.320101005709091 -0.183337015312727 0.0588644036490909 -0.188392122163636 -0.0664817176345455 -0.299207956636364 -0.887445183272727 -0.743044868 -0.713721242090909 -0.700863009090909 -0.922805058545455 -0.940769255818182 -0.482113007636364 -0.958092711090909 -0.966063323454545
"WALKING_DOWNSTAIRS" 13 0.0399832139787234 -0.0237205719148936 -0.456428190459574 0.281723782595745 0.0479416133191489 0.0317075540212766 -0.157565136702128 -0.0647199842553191 -0.807265739574468 -0.56379924887234 -0.545933711276596 -0.664646184468085 -0.56692835 -0.655477216808511 -0.773510602553191 -0.319677124659574 -0.909852500212766 -0.776229125319149
"SITTING" 13 0.237635633138776 -0.0902687401836735 -0.879047359591837 0.803526064285714 -0.48251458422449 0.162622861544898 0.0896144029489796 -0.095919848877551 -0.476015222857143 -0.999823691632653 -0.999625002653061 -0.99949725755102 -0.999645189591837 -0.999522467959184 -0.999430108571429 -0.983218202857143 -0.999835438163265 -0.999949772857143
"STANDING" 13 0.180210407017544 -0.0753205243684211 -0.853849482631579 0.810194128947368 -0.252344361140351 0.0521348030982456 0.115971491357895 -0.0981199986666667 -0.197770864964912 -0.999451518245614 -0.999864977719298 -0.999396318596491 -0.999383855614035 -0.999637277719298 -0.999292286491228 -0.957154108421053 -0.999605805614035 -0.999616721578947
